,Name,Street Address,Postal Code,Parking Rates
66,NTUC Income Tampines Junction,300 Tampines Avenue 5,529653,"MON-FRI Before 5/6 PM
$1.50/hr for 1st hr, $0.75 for next subsequent 30min from 6am to 6pm 

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 6am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 6am to 6am the following day 

"
67,Holiday Inn Singapore Orchard City Centre,11 Cavenagh Road,229616,"MON-FRI Before 5/6 PM
$3.50 for 1st hr, $1.75 for next subsequent 30min from 7am to 7am the following day 

MON-FRI After 5/6 PM
$3.50 for 1st hr, $1.75 for next subsequent 30min from 7am to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
68,Pasir Ris Central Hawker Center (Hipster Hawker Center),110 Pasir Ris Central,519641,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10.30pm 

MON-FRI After 5/6 PM
$0.60/30min from 10.30pm to 7am the following day, capped at $5.00  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
69,Tiong Bahru Market,30 Seng Poh Road,168898,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10.30pm 

MON-FRI After 5/6 PM
$0.60/30min from 10.30pm to 7am the following day, capped at $5.00  

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
70,Chin Bee HVP,4 Fourth Chin Bee Road,619698,"MON-FRI Before 5/6 PM
$1.20/30min from 7am to 7pm 

MON-FRI After 5/6 PM
$1.20/30min from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
30min grace period 

"
71,JTC BioMed One @ Tuas Biomedical Park,128 Tuas South Avenue 3,637550,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
Free parking from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
15min grace period 

"
72,JTC Aviation Two @ Seletar Aerospace Park,690 West Camp Road,797523,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
Free parking from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
15min grace period 

"
73,JTC Aviation One @ Seletar Aerospace Park,700 West Camp Road,797649,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
Free parking from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
15min grace period 

"
74,JTC CleanTech Two @ CleanTech Park,3 CleanTech Loop,637143,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
Free parking from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
15min grace period 

"
75,Fusionopolis 2 (Tower A & B),2 Fusionopolis Way,138634,"MON-FRI Before 5/6 PM
$1.00/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$1.00/entry from 6pm to 7am the following day 

SAT
$1.00/entry from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$1.00/entry from 7am to 7am the following day 

REMARKS
15min grace period 

"
76,JTC MedTech Hub @ MedTech Park,2 Tukang Innovation Grove,619624,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
Free parking from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
15min grace period 

"
77,15 Changi Business Park,15 Changi Business Park Central 1,486057,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.60/30min from 7pm to 7am the following day, capped at $4.00 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period 

"
78,Standard Chartered @ Changi,9 Changi Business Park Crescent,486041,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.60/30min from 7pm to 7am the following day, capped at $4.00 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period 

"
79,35-43 Kranji Way,43 Kranji Way,739448,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
Free parking from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
15min grace period 

"
80,Jurong Industrial Estate (Penjuru Workshops),28F Penjuru Close,609134,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.60/30min from 7pm to 7am the following day, capped at $4.00 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
1hr grace period 

"
81,Jurong Industrial Estate (Jurong Port Workshops),27A Jurong Port Road,619101,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.60/30min from 7pm to 7am the following day, capped at $4.00 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
1hr grace period 

"
82,Pioneer Road North Industrial Estate,1 Pioneer Road North,628455,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.60/30min from 7pm to 7am the following day, capped at $4.00 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
1hr grace period 

"
83,Yew Tee Industrial Estate,387 Woodlands Road,677946,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.60/30min from 7pm to 7am the following day, capped at $4.00 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
1hr grace period 

"
84,Kranji Workshop,6 Kranji Loop,739542,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.60/30min from 7pm to 7am the following day, capped at $4.00 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
1hr grace period 

"
85,The Oval @ Seletar Aerospace Park,3 Park Lane,798387,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
Free parking from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
15min grace period 

"
86,Pixel Building,10 Central Exchange Green,138649,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 7pm 

MON-FRI After 5/6 PM
Free parking from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
15min grace period 

"
87,CleanTech One,1 CleanTech Loop,637141,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
Free parking from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Free parking from 7am to 7am the following day 

REMARKS
15min grace period 

"
88,Woodlands Spectrum,2 Woodlands Sector 1,738068,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 10pm 

MON-FRI After 5/6 PM
$2.00/entry from 10.01pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 7am to 6.59am the following day 

REMARKS
No grace period 

"
89,Novotel Singapore On Stevens,28 Stevens Road,257878,"MON-FRI Before 5/6 PM
$3.00/hr from 7.01am-12pm and from 2.31pm-6pm 

MON-FRI After 5/6 PM
$3.00/entry from 10pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Free parking from 12.01pm to 2.30pm and from 6.01pm to 10pm everyday 

"
90,The Frontier Community Club,60 Jurong West Central 3,648346,"MON-FRI Before 5/6 PM
$2.15 for 1st hr, $1.07 for next subsequent 30min from 8am to 8am the following day 

MON-FRI After 5/6 PM
$2.15 for 1st hr, $1.07 for next subsequent 30min from 8am to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
91,Singapore University of Technology and Design (SUTD),8 Somapah Road,487372,"MON-FRI Before 5/6 PM
$0.02/min from 8am to 5pm 

MON-FRI After 5/6 PM
$0.02/min from 5pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Free 1hr parking from 12pm to 2pm daily 

"
92,Alexandra Central,321 Alexandra Road,159971,"MON-FRI Before 5/6 PM
$2.14/hr from 8am to 6pm 

MON-FRI After 5/6 PM
$3.21/entry from 6pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
93,LTC Building (Lion Industrial Building),12 Arumugam Road,409958,"MON-FRI Before 5/6 PM
$1.18/hr from 7am to 5pm 

MON-FRI After 5/6 PM
$2.00/entry from 5pm to 7am the following day 

SAT
$1.18/hr from 7am to 1pm, $0.59/hr from 1pm to 5pm, $2.00/entry from 5pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$0.59/hr from 7am to 5pm, $2.00/entry from 5pm to 7am the following day 

REMARKS
All rates including Public Holiday 

"
94,Thong Chai Building,50 Chin Swee Road,169874,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7.01am to 6pm  

MON-FRI After 5/6 PM
$2.00/entry from 6pm to 11pm, $2.00/hr from 11.01pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
95,Scotts Square,6 Scotts Road,228209,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $1.50 for next subsequent 30min from 8am to 5.29pm 

MON-FRI After 5/6 PM
$4.50/entry from 5.30pm to 7.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
96,Changi Airport Terminal 1 / Jewel (General Parking B3 to B5),80 Airport Boulevard,918146,"MON-FRI Before 5/6 PM
$0.04/min from 12midnight to 12midnight the following day 

MON-FRI After 5/6 PM
$0.04/min from 12midnight to 12midnight the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min Grace Period 

"
97,Changi Airport Terminal 1 / Jewel (Short-term Parking B2M an,80 Airport Boulevard,918146,"MON-FRI Before 5/6 PM
$0.04/min for first 90min, $5.00 for next subsequent 30min from 12midnight to 12midnight the following day 

MON-FRI After 5/6 PM
$0.04/min for first 90min, $5.00 for next subsequent 30min from 12midnight to 12midnight the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min Grace Period 

"
98,Kallang Theatre,1 Stadium Walk,397689,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$5.00/entry from 6pm to 12am 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
Carpark closed at 12am 

"
99,The Brooks II,25 Springside Green,786015,"MON-FRI Before 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5pm  

MON-FRI After 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
100,The Brooks I,60 Springside Walk,786020,"MON-FRI Before 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5pm  

MON-FRI After 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
101,Shun Li Industrial Park,61 Kaki Bukit Avenue 1,417943,"MON-FRI Before 5/6 PM
$1.20 for 1st hr, $0.60 for next subsequent 30min from 7am to 11pm  

MON-FRI After 5/6 PM
$3.00/entry from 11pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
102,Bedok Reservoir Park B,Tampines Avenue 10,,"MON-FRI Before 5/6 PM
HDB / URA parking rates 

MON-FRI After 5/6 PM
HDB / URA parking rates 

SAT
HDB / URA parking rates 

SUN / PUBLIC HOLIDAYS
HDB / URA parking rates 

"
103,Katong V (Village Hotel Katong),25 Marine Parade,449536,"MON-FRI Before 5/6 PM
$1.07/hr from 8am to 5pm 

MON-FRI After 5/6 PM
$1.07/hr from 5pm to 8am the following day 

SAT
$1.07/hr from 8am to 8am the following day 

SUN / PUBLIC HOLIDAYS
$1.07/hr from 8am to 8am the following day 

REMARKS
10min grace period 

"
104,Space Tampines,18 Tampines Industrial Crescent,528822,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.64 for next subsequent 30min from 8am to 6pm  

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 8am the following day 

SAT
Free parking for 1st 2hr, $0.64 for next subsequent 30min from 8am to 10pm, $2.50/entry from 10pm to 5.59am the following day 

SUN / PUBLIC HOLIDAYS
Free parking for 1st 2hr, $0.64 for next subsequent 30min from 8am to 10pm, $2.50/entry from 10pm to 5.59am the following day 

REMARKS
10min grace period  

"
105,Woodlands Waterfront Park,6A Admiralty Road West,759956,"MON-FRI Before 5/6 PM
Free parking from 6.30am to 8.30am, $0.60/30min from 8.30am to 5pm 

MON-FRI After 5/6 PM
$0.60/30min from 5pm to 6.30am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
15min grace period 

"
106,Mapex,37 Jalan Pemimpin,577177,"MON-FRI Before 5/6 PM
S1.20/hr from 7am to 7pm 

MON-FRI After 5/6 PM
$2.50/entry from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
107,One Shenton,1 Shenton Way,068803,"MON-FRI Before 5/6 PM
$4.00 for 1st hr, $0.07 for next subsequent min from 7am to 6.59pm  

MON-FRI After 5/6 PM
$3.00/entry from 7pm to 6.59am the following day 

SAT
$3.00/entry from 7am to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 6.59am the following day 

REMARKS
Season parking for non-resident at $400/month 

"
108,Primz Bizhub,21 Woodlands Close,737854,"MON-FRI Before 5/6 PM
$0.167/min from 7am to 7pm 

MON-FRI After 5/6 PM
$0.167/min from 7pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

"
109,Royal Square @ Novena,101 Irawaddy Road,329565,"MON-FRI Before 5/6 PM
$2.00 for 1st hr, $1.00 for next subsequent 30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
$2.20 for 1st 4hr, $1.10 for next subsequent 30min from 7am to 5.59pm, $2.50/entry from 6pm to 6.59am the following day 

"
110,Park Hotel Farrer Park,10 Farrer Park Station Road S(217564),,"MON-FRI Before 5/6 PM
$3.00 for 1st hr, $0.75 for subsequent 15min from 8am to 6pm 

MON-FRI After 5/6 PM
$3.00 for 1st hr, $0.75 for subsequent 15min from 6pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
geetha.warrier@parkhotelgroup.com 

"
111,Gemini @ Sims,2 Sims Close S(387298),,"MON-FRI Before 5/6 PM
$0.55/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.20/entry from 6pm to 7am the following day 

SAT
$3.00/entry from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$3.00/entry from 7am to 7am the following day 

REMARKS
10min grace period 

"
112,Wisteria Mall,598 Yishun Ring Road,769698,"MON-FRI Before 5/6 PM
$1.28 for 1st hr, $0.70 for next subsequent 30min from 7am to 6.59pm 

MON-FRI After 5/6 PM
$1.28 for 1st hr, $0.70 for next subsequent 30min from 6.59pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
113,DUO Tower,3 Fraser Street,,"MON-FRI Before 5/6 PM
$2.57 for 1st hr, $0.80 for subsequent 15min from 8am to 5.59pm 

MON-FRI After 5/6 PM
$3.75/entry from 6pm to 7.59am the following day 

SAT
$3.75/entry from 8am to 7.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.75/entry from 8am to 7.59am the following day 

REMARKS
10min grace period 

"
114,Twenty Anson,20 Anson Road,079912,"MON-FRI Before 5/6 PM
$6.42/hr or part thereof from 7am to 5.59pm 

MON-FRI After 5/6 PM
$4.28/entry from 6pm to 6.59am the following day 

SAT
$6.42/hr or part thereof from 7am to 12.59pm, $4.28/entry from 1pm to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$4.28/entry from 7am to 6.59am the following day 

"
115,Ang Mo Kio Polyclinic (NHGP),21 Ang Mo Kio Central 2,569666,"MON-FRI Before 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5pm 

MON-FRI After 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 5pm to 8pm, carpark closed till 7am the following day 

SAT
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 4pm, carpark closed till 7am of the next Monday 

SUN / PUBLIC HOLIDAYS
Carpark closed 

REMARKS
10min grace period, Vehicles parked beyond operating hours, parking rates will apply till 7am the following day 

"
116,22 Martin Road,22 Martin Road,239058,"MON-FRI Before 5/6 PM
$0.10 for first 5min, subsequently $2.00/hr from 7am to 6pm 

MON-FRI After 5/6 PM
$0.10 for first 5min, subsequently $3.00/hr from 6am to 2am the following day 

SAT
$0.10 for first 5min, subsequently $3.00/hr from 7am to 2am the following day 

SUN / PUBLIC HOLIDAYS
$0.10 for first 5min, subsequently $3.00/hr from 7am to 2am the following day 

REMARKS
Carpark closed from 2am to 7am 

"
117,Proxima @ Gambas,50 Gambas Crescent,757022,"MON-FRI Before 5/6 PM
$1.28/hr from 7.01am to 10.30pm 

MON-FRI After 5/6 PM
$2.14/entry from 10.31pm to 7am the following day 

SAT
$2.14/entry from 7am to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.14/entry from 7am to 7am the following day 

"
118,Space Kovan,11 Yio Chu Kang Road,545523,"MON-FRI Before 5/6 PM
$1.50/hr from 8am to 6pm 

MON-FRI After 5/6 PM
$1.50/hr from 6pm to 8am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
119,The Venue Residences and Shoppes,18 Upper Serangoon Road,347629,"MON-FRI Before 5/6 PM
$1.40 for 1st hr, $0.70 for next subsequent 30min from 7am to 5.59pm 

MON-FRI After 5/6 PM
$2.50/entry from 6pm to 11.59pm, $3.00 for first hour from 12am to 6.59am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period 

"
120,Delta House,2 Alexandra Road,159919,"MON-FRI Before 5/6 PM
$1.20 for 1st 30min, $1.50/30min from 7am to 6pm 

MON-FRI After 5/6 PM
$2.00/entry from 6pm to 7am the following day 

SAT
$1.20 for 1st 30min, $1.50/30min from 7am to 1pm, $2.00/entry from 1pm to 7am the following day 

SUN / PUBLIC HOLIDAYS
$2.00/entry from 7am to 7am the following day 

"
121,50 Scotts Road,50 Scotts Road,228242,"MON-FRI Before 5/6 PM
$2.50 for 1st hr, $1.20 for next subsequent 30min from 7am to 10.59am and 2pm to 4.59pm; $3.00 for 1st hr, $1.50 for next subsequent 30min from 11am to 1.59pm 

MON-FRI After 5/6 PM
$3.50/entry from 5pm to 6.59am the following day 

SAT
$3.50/entry from 7am to 6.59am the following day 

SUN / PUBLIC HOLIDAYS
$3.50/entry from 7am to 6.59am the following day 

"
122,Katong Swimming Complex,111 Wilkinson Road,436752,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.60/30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, Charges are on a per minute basis from 10.30pm to 7am the following day, maximum charge of $5.00 

"
123,Kallang Car Park 1 (Kallang H),200 Stadium Boulevard,397726,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.60/30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, Charges are on a per minute basis from 10.30pm to 7am the following day, maximum charge of $5.00 

"
124,Kallang Car Park 3 (Tennis Centre),8 Stadium Boulevard,397796,"MON-FRI Before 5/6 PM
$0.60/30min from 7am to 5pm 

MON-FRI After 5/6 PM
$0.60/30min from 5pm to 7am the following day 

SAT
Charges same as weekdays 

SUN / PUBLIC HOLIDAYS
Charges same as weekdays 

REMARKS
10min grace period, Charges are on a per minute basis from 10.30pm to 7am the following day, maximum charge of $5.00 

"
